scientific name,common name
Sanicula sandwicensis,Hawai'i blacksnakeroot
Cuora aurocapitata,golden-headed box turtle
Acanthopagrus schlegelii,black sea bream
Sebastes mystinus,blue rockfish
Scorpaena guttata,finscaled scorpionfish
Scorpaena guttata,spotted scorpionfish
Hypholoma fasciculare,sulphur tuft
Colias alexandra,Queen Alexandra's sulphur butterfly
Colias alexandra,ultraviolet sulfur butterfly
Colias behrii,Behr's sulphur butterfly
Colias behrii,sierra green sulfur butterfly
Colias croceus,clouded yellow butterfly
Colias meadii,Mead's sulphur butterfly
Colias scudderi,willow sulphur butterfly
Euchloe,little whites
Euchloe ausonides,large marblewing
Eurema daira,barred sulphur
Eurema lisa,little sulphur
Artemisia herba-alba,white wormwood
Artemisia cana,silver sagebrush
Artemisia dracunculus,French tarragon
Artemisia dracunculus,tarragon
Artemisia nova,black sagebrush
Vachellia farnesiana,dead-finish
Vachellia farnesiana,prickly Moses
Vachellia farnesiana,sheep's briar
Senna didymobotrya,candelabra-tree
Senna alexandrina,Indian senna
Senna alexandrina,casse
Senna alexandrina,jalelo
Delonix regia,flametree
Delonix regia,royal poinciana
Salix bakko,Japanese willow
Capra ibex,ibex
Anigozanthos flavidus,evergreen kangaroo-paw
Anigozanthos flavidus,tall kangaroo-paw
Smilax rotundifolia,bullbrier
Smilax rotundifolia,roundleaf greenbrier
Tacca leontopetaloides,Polynesian arrowroot
Tacca leontopetaloides,tia
Veratrum viride,green false hellebore
Polanisia,clammyweed
Eutrema salsugineum,saltwater cress
Sanicula peckiana,Peck's blacksnakeroot
Sanicula maritima,adobe snakeroot
Sanicula saxatilis,devil's blacksnakeroot
Colias philodice,common sulphur butterfly
Psalidoprocne holomelas,black sawwing
Aster amellus,Italian starwort
Chrysothamnus viscidiflorus,yellow rabbitbrush
Erigeron canadensis,horseweed
Conyza pyrrhopappa,broadleaf fleabane
Oreostemma alpigenum,tundra aster
Pentachaeta,pygmy-daisy
Sericocarpus tortifolius,Dixie whitetop aster
Gaultheria shallon,salal
Gaultheria shallon,shallon
Quercus palustris,pin oak
Vernicia fordii,tung oil tree
Helianthus debilis,cucumberleaf sunflower
Aegithalos caudatus,Long-tailed Tit
Ceratotherium simum simum,southern square-lipped rhinoceros
Pelophylax kurtmuelleri,Greek marsh frog
Lycopodiastrum casuarinoides,teng shi song
Calpodes ethlius,large canna leafroller
Adolphia californica,California prickbush
Sarcomphalus obtusifolius,gumdrop-tree
Sarcomphalus obtusifolius,lotebush
Populus balsamifera,balsam poplar
Populus balsamifera,hackmatack
Dolichandra unguis-cati,cat's claw creeper
Dalbulus maidis,corn leafhopper
Laevicaulis alte,tropical leatherleaf
Amatitlania nigrofasciata,convict cichlid
Geophagus altifrons,redstriped eartheater
Acaronia nassa,bigeye cichlid
Laetacara curviceps,flag acara
Symphysodon aequifasciata,green discus
Abies cephalonica,Grecian fir
Salviniales,water-ferns
Elaphe carinata,King ratsnake
Sinonatrix annularis,ringed water snake
Glycyrrhiza uralensis,Chinese licorice
Glycyrrhiza uralensis,gan zao
Stylidium emarginatum,biddy four-legs
Stylidium bulbiferum,circus triggerplant
Rosa foetida,Austrian briar
Rosa gallica,French rose
Rosa gallica,apothecary rose
Rosa gallica,red-rose-of-Lancaster
Rosa canina,dog briar
Rosa rubiginosa,eglantine
Rosa rubiginosa,eglantine rose
Rosa rubiginosa,sweetbrier
Rosa carolina,Carolina rose
Rosa carolina,pasture rose
Rosa pendulina,alpine rose
Rosa rugosa,Japanese rose
Rosa rugosa,Turkestan rose
Rosa moschata,musk rose
Rosa multiflora,Japanese rose
Rosa lucieae,memorial rose
Rosa chinensis,China rose
Rosa laevigata,Cherokee rose
Rosa bracteata,Macartny rose
Rosa roxburghii,chestnut rose
Rosa roxburghii,chinquapin rose
Rosa stellata,desert rose
Agrimonia pilosa,long ya cao
Agrimonia pilosa,xian he cao
Veronica anagallis-aquatica,water speedwell
Tripolium pannonicum,sea starwort
Papaver californicum,fire poppy
Papaver californicum,western poppy
Papaver nudicaule,Arctic poppy
Papaver nudicaule,Icelandic poppy
Daphnandra micrantha,canary sassafras
Daphnandra micrantha,light yellowood
Daphnandra repandula,northern sassafras
Daphnandra repandula,scentless sassafras
Doryphora sassafras,golden deal
Doryphora sassafras,golden sassafras
Dryadodaphne novoguineensis,grey sassafras
Allium moly,lily leek
Allium neapolitanum,flowering onion
Allium schoenoprasum,chive
Allium stellatum,prairie onion
Indotestudo elongata,Elongated tortoise
Indotestudo elongata,Yellow-headed tortoise
Orlitia borneensis,Malaysian giant turtle
Oncorhynchus tshawytscha,king salmon
Hedycarya angustifolia,Australian mulberry
Wilkiea macrophylla,Mollinedia macrophylla
Entelegynae,eight-eyed spiders
Platax orbicularis,orbiculate batfish
Siganus canaliculatus,pearl-spotted spinefoot
Siganus canaliculatus,pearly spinefoot
Siganus canaliculatus,white-spotted spinefoot
Zebrasoma scopas,blue-lined tang
Zebrasoma scopas,bluelined sailfin tang
Zebrasoma scopas,brown sailfin tang
Zebrasoma scopas,brown sailfish surgeonfish
Zebrasoma scopas,brown sailing tang
Zebrasoma scopas,brown tang
Zebrasoma scopas,brushtail tang
Zebrasoma scopas,two-tone surgeonfish
Zebrasoma scopas,yellow sailfin tang
Rubus repens,dewdrop
Rubus repens,robin-run-away
Rubus allegheniensis,Allegheny blackberry
Rubus allegheniensis,sow-teat blackberry
Rubus deliciosus,Rocky Mountain raspberry
Rubus nubigenus,mora de venado
Rubus occidentalis,black raspberry
Rubus odoratus,flowering raspberry
Rubus phoenicolasius,Japanese wineberry
Rubus phoenicolasius,duo xian xuan gou zi
Rubus phoenicolasius,wine raspberry
Rubus pubescens,dwarf raspberry
Rubus ursinus,California blackberry
Pylodictis olivaris,flathead catfish
Misgurnus anguillicaudatus,Japanese weatherfish
Misgurnus anguillicaudatus,dojo loach
Misgurnus anguillicaudatus,golden dojo loach
Misgurnus anguillicaudatus,oriental weatherloach
Misgurnus anguillicaudatus,weather loach
Rhodeus ocellatus,rosy bitterling
Abbottina rivularis,Amur false gudgeon
Gymnocypris przewalskii,scale-less carp
Megalobrama amblycephala,Chinese blunt snout bream
Megalobrama amblycephala,blunt snout bream
Parabramis pekinensis,freshwater bream
Ephippidae,threadfin scats
Panorpa japonica,marubane shiriage
Xyridaceae,yellow-eye grass family
Pagrus auratus,cockney snapper
Pagrus auratus,eastern snapper
Pagrus auratus,golden snapper
Pagrus auratus,old man red snapper
Pagrus auratus,old man snapper
Pagrus auratus,queen red bream
Pagrus auratus,silver seabream
Pagrus auratus,western bream
Medicago littoralis,shore medic
Salix alba,white willow
Salix amygdaloides,peachleaf willow
Salix babylonica,weeping willow
Salix discolor,American pussy willow
Salix hastata,halberd willow
Salix interior,sandbar willow
Salix nigra,black willow
Salix pentandra,bay willow
Salix tetrasperma,Indian willow
Zizania aquatica,Canadian wild rice
Acer saccharinum,silver maple
Eutrema japonicum,wasabe
Mareca americana,American widgeon
Anas carolinensis,American green-winged teal
Anas clypeata,shoveler
Anas crecca,Eurasian teal
Anas crecca,European teal
Anas discors,bluewinged teal
Anas flavirostris,speckled teal
Anas fulvigula,mottled duck
Anas poecilorhyncha,western spot-billed duck
Anas zonorhyncha,Chinese spot-billed duck
Umbra krameri,European mud-minnow
Lactuca serriola,compass-plant
Lactuca serriola,prickly lettuce
Chondrilla juncea,rush skeletonweed
Pachymedusa dacnicolor,Mexican leaf frog
Agalychnis annae,orange-eyed tree frog
Fallopia multiflora,Chinese knotweed
Fallopia multiflora,fo ti
Fallopia multiflora,he shou wu
Fallopia convolvulus,cipo-de-veado
Fallopia convolvulus,enredadeira
Fallopia convolvulus,wan shou wu
Fallopia convolvulus,wild buckwheat
Exocoetidae,flyingfishes
Asarum arifolium,little brown jug
Clarkia amoena,farewell-to-spring
Psylliostachys suworowii,pink poker statice
Papilio machaon,Old World swallowtail
Papilio machaon,artemisia swallowtail
Papilio bianor,Chinese peacock butterfly
Erynnis,duskywing skippers
Hypolimnas,diadems
Hypolimnas bolina,great eggfly
Nymphalis xanthomelas,large tortoiseshell
Euploea mulciber,striped blue crow butterfly
Libythea celtis,European beak
Senecio vulgaris,old-man-in-the-Spring
Acanthus mollis,artist's acanthus
Acanthus mollis,sea-dock
Acanthus mollis,sea-holly
Mimosa pudica,sensitive-plant
Thalassoma bifasciatum,bluehead wrasse
Sciaenops ocellatus,channel bass
Sciaenops ocellatus,redfish
Sciaenops ocellatus,spottail bass
Sesbania sesban,Egyptian sesban
Cyperus longus,galingale
Cyperus papyrus,papyrus
Lachnocaulon,bogbuttons
Lachnocaulon,hatpins
Lachnocaulon anceps,whitehead bogbutton
Lobelia cardinalis,cardinal flower
Kennedia rubicunda,dusky coral-pea
Glandularia x hybrida,garden verbena
Lontra canadensis,river otter
Samanea saman,cow-tamarind
Samanea saman,monkeypod
Samanea saman,rain-tree
Samanea saman,raintree
Zea mays subsp. parviglumis,Balsas teosinte
Zea mays subsp. parviglumis,teosinte
Chorilaena quercifolia,wild hop
Citrus glauca,Australian desert-lime
Citrus japonica,marumi kumquat
Citrus japonica,meiwa kumquat
Hordeum vulgare subsp. spontaneum,wild barley
Pilocarpus pennatifolius,jaborandi
Nuphar polysepala,spatterdock
Nuphar polysepala,yellow pond-lily
Xylaria polymorpha,dead man's fingers
Azara integrifolia,goldspire
Salix exigua,coyote willow
Salix fragilis,brittle willow
Salix herbacea,dwarf willow
Salix purpurea,purple osier
Cecropia palmata,embauba
Cecropia palmata,snakewood tree
Cecropia palmata,yaruma
Nuphar lutea,yellow water lily
Dendroctonus jeffreyi,mountain pine beetle
Dendroctonus punctatus,boreal spruce beetle
Papilio dardanus,flying handkerchief
Papilio dardanus,mocker swallowtail butterfly
Strophostyles umbellata,pink fuzzybean
Calochortus albus,white fairy-lantern
Chamaedorea seifrizii,bamboo palm
Chamaedorea seifrizii,reed palm
Tradescantia ohiensis,Ohio spiderwort
Tradescantia ohiensis,blue-jacket
Triticum polonicum,Polish wheat
Carapichea ipecacuanha,ipecac
Carapichea ipecacuanha,raicilla
Pinus densiflora,Japanese red pine
Pinus densiflora,tanyosho pine
Passiflora edulis,passion fruit
Arabis hirsuta,hairy rockcress
Mogurnda adspersa,southern purple spotted gudgeon
Cercococcyx montanus,barred long-tailed cuckoo
Abies firma,Japanese fir
Abies firma,momi fir
Amanita virosa,destroying angel
Arisaema triphyllum,jack-in-the-pulpit
Amorphophallus konjac,devil's-tongue
Amorphophallus konjac,elephant-yam
Amorphophallus konjac,konnyaku
Amorphophallus konjac,mo-yu
Peltandra virginica,arrow arum
Peltandra virginica,tuckahoe
Orontium aquaticum,golden-club
Eptatretus cirrhatus,New Zealand hagfish
Trollius chinensis,jin lian hua
Ribes nigrum,European black currant
Trigonella foenum-graecum,fenugreek
Colias chrysotheme,lesser clouded yellow butterfly
Colias hecla,northern clouded yellow
Colias hecla,northern clouded yellow butterfly
Colias hyale,pale clouded yellow butterfly
Colias myrmidone,Danube clouded yellow butterfly
Colias nastes,Labrador sulphur butterfly
Colias palaeno,Arctic sulfur butterfly
Colias palaeno,Palaeno sulphur
Colias palaeno,Palaeno sulphur butterfly
Colias palaeno,moorland clouded yellow butterfly
Betula platyphylla,Asian white birch
Betula platyphylla,bai hua
Betula platyphylla,shira-kamba
Corylus americana,American hazelnut
Diuris sulphurea,tiger orchid
Liparis liliifolia,lily-leaved twayblade
Liparis liliifolia,mauve sleekwort
Pseudobagrus ichikawai,nekogigi
Lymantria monacha,nun moth
Lymantria xylina,casuarina moth
Lilium japonicum,bamboo lily
Lilium japonicum,sasa-yuri
Lilium lancifolium,true tiger lily
Scaptotrigona postica,stingless bee
Rana chensinensis,Asiatic grass frog
Rana chensinensis,Far Eastern wood frog
Rana chensinensis,Inkiapo frog
Stylosanthes scabra,shrubby stylo
Schmidtea mediterranea,freshwater planarian
Hydrophyllum capitatum,cat-breeches
Barringtonia asiatica,fish-poison-tree
Grias cauliflora,anchovy-pear
Diervilla lonicera,bush-honeysuckle
Eudyptes chrysocome,rock-hopper penguin
Microtus ochrogaster,prairie voles
Batrachocottus nikolskii,fat sculpin
Litoria xanthomera,lime treefrog
Litoria xanthomera,northern orange-eyed treefrog
Begonia grandis subsp. evansiana,hardy begonia
Verbena officinalis,common verbena
Verbena officinalis,kumatsuzura
Verbena officinalis,ma bian cao
Verbena officinalis,pigeon's-grass
Cymbopogon nardus,citronella grass
Cenchrus compressus,swamp foxtail
Clonorchis sinensis,oriental liver fluke
Phaedon cochleariae,mustard leaf beetle
Bursera simaruba,West Indian-birch
Bursera simaruba,gumbo limbo
Bursera simaruba,palo mulato
Spondias mombin,Jamaica-plum
Spondias mombin,hog-plum
Spondias mombin,imbu
Spondias mombin,jobo
Spondias mombin,ubos
Spondias mombin,yellow mombin
Chlorostoma brunnea,brown tegula
Chlorostoma brunnea,brown top snail
Capsicum chinense,Scotch bonnet
Capsicum chinense,bonnet pepper
Capsicum chinense,habanero
Capsicum chinense,piri piri
Capsicum chinense,rocotillo
Lacerta agilis,Sand lizard
Lacerta agilis,Zauneidechse
Aphis gossypii,melon aphid
Paratilapia polleni,Pollen's tilapia
Acheilognathus typus,money bitterling
Portunus pelagicus,blue swimmer crab
Charybdis japonica,Asian paddle crab
Charybdis japonica,Japanese shore swimming crab
Populus tremula x Populus alba,gray poplar
Kalanchoe pinnata,airplant
Dascyllus aruanus,whitetail dascyllus
Dascyllus reticulatus,reticulate dascyllus
Acanthochromis polyacanthus,spiny damselfish
Chrysiptera leucopoma,surge damselfish
Latropiscis purpurissatus,sergeant baker
Lampridae,opahs
Lampris guttatus,Jerusalem haddock
Lampris guttatus,opah
Regalecus glesne,giant oarfish
Lampsilis ornata,sharp-ridged pocketbook
Lampsilis ornata,southern pocketbook
Micromesistius poutassou,Couch's whiting
Micromesistius poutassou,poutassou
Brosme brosme,tusk
Lotidae,rocklings
Hippoboscidae,louseflies
Hemerocallis lilioasphodelus,lemon-lily
Hyacinthoides hispanica,Spanish bluebell
Hyacinthoides non-scripta,English bluebell
Drimia indica,white squill
Pseudocardium sachalinense,Sakhalin surf clam
Pseudocardium sachalinense,surf-clam
Cuscuta japonica,Japanese dodder
Cuscuta japonica,tu si
Arabis blepharophylla,rose rockcress
Boechera lignifera,desert rockcress
Boechera parishii,dwarf rockcress
Ornithogalum thyrsoides,chinkerinchee
Hyacinthus orientalis,common hyacinth
Ornithogalum arabicum,Arabian starflower
Albuca bracteata,sea-onion
Hedera colchica,Persian ivy
Polygonatum odoratum,yu zhu
Sprekelia formosissima,Aztec lily
Sprekelia formosissima,Jacobean lily
Sprekelia formosissima,St. James lily
Zephyranthes,rain lily
Zephyranthes,zephyr flower
Campanula glomerata,Dane's blood
Campanula glomerata,Dane's-blood
Campanula glomerata,clustered bellflower
Campanula punctata,spotted bellflower
Cardamine impatiens,narrowleaf bittercress
Lilium brownii,Hong Kong lily
Lilium brownii,ye bai he
Cardamine bulbifera,coralroot bittercress
Matisia cordata,sapote
Matisia cordata,sapotillo
Grewia occidentalis,crossberry
Tilia platyphyllos,broad-leaved lime
Myodes regulus,royal vole
Myodes andersoni,Japanese red-backed vole
Trillium cernuum,nodding trillium
Trillium cuneatum,bloody butcher
Trillium cuneatum,sweet betsy
Trillium cuneatum,whip-poor-will flower
Trillium foetidissimum,stinking trillium
Trillium ludovicianum,Louisiana trillium
Trillium luteum,yellow toadshade
Trillium maculatum,spotted trillium
Trillium nivale,dwarf white trillium
Trillium ovatum,Western white trillium
Trillium pusillum,least trillium
Trillium recurvatum,bloody noses
Trillium recurvatum,prairie trillium
Trillium rugelii,Southern nodding trillium
Trillium undulatum,painted trillium
Trillium vaseyi,sweet beth
Trillium viride,green trillium
Trillium viridescens,Ozark green trillium
Tristagma uniflorum,spring starflower
Crocus sativus,saffron crocus
Apaturinae,emperors
Biston betularia,peppered moth
Arbutus menziesii,Pacific madrone
Arbutus menziesii,madrone
Bassia scoparia,burning bush
Bassia scoparia,summer cypress
Xanthomonas campestris pv. vitians,bacterial leaf spot pathogen of lettuce
Ithaginis cruentus,blood pheasant
Aesculus turbinata,Japanese horse-chestnut
Chlamydia muridarum,agent of mouse pneumonitis
Gardenia taitensis,bua
Hedyotis littoralis,seacliff starviolet
Astragalus glycyphyllos,liquorice milk-vetch
Margarodidae,giant scale insects
Trachurus japonicus,Japanese horse mackerel
Ditrema temminckii,Temminck's surfperch
Ditrema temminckii,sea chub
Boehmeria nivea,Chinese silk-plant
Boehmeria nivea,ramie
Boehmeria nivea,zhu ma
Psoroptes ovis,scabies mite
Campsis radicans,trumpet creeper
Campsis radicans,trumpet vine
Crescentia portoricensis,higuero de sierra
Roseodendron donnell-smithii,primavera
Roseodendron donnell-smithii,white-mahogany
Bignonia aequinoctialis,garlicvine
Oroxylum indicum,broken bones plant
Oroxylum indicum,kampong
Oroxylum indicum,midnight horror
Oroxylum indicum,tree of Damocles
Pandorea jasminoides,bowerplant
Podranea ricasoliana,Zimbabwe-creeper
Hemisus marmoratus,Lake Zwai shovelnose frog
Hemisus marmoratus,marbled snout-burrower
Hemisus marmoratus,mottled burrowing frog
Hemisus marmoratus,pig-nosed frog
Hemisus marmoratus,shovel-nosed burrowing frog
Arbutus unedo,strawberry tree
Arctostaphylos uva-ursi,bearberry
Arctous alpina,alpine bearberry
Arctous alpina,mountain bearberry
Arctous alpina,torpedoberry
Comarostaphylis diversifolia,summer-holly
Ornithostaphylos oppositifolia,Baja California birdbush
Vaccinium ovatum,California huckleberry
Kalanchoe delagoensis,chandelier-plant
Kalanchoe delagoensis,mother-of-millions
Cribroheros alfari,pastel cichlid
Gasterophilus,equid stomach bot flies
Labeo rohita,Jayanti rohu
Cervus canadensis songaricus,Semirechian maral
Cervus canadensis songaricus,Tian Shan maral
Saltator coerulescens,greyish saltator
Loxia scotica,Scottish crossbill
Linanthus arenicola,sanddune linanthus
Planchonella pohlmaniana,engraver's wood
Campanula trachelium,nettle-leaf bellflower
Campanula trachelium,throatwort
Catalpa bignonioides,catawba
Catalpa bignonioides,cicartree
Catalpa bignonioides,southern catalpa
Ipomoea mauritiana,qi zhao long
Ipomoea mauritiana,yatsude-asagao
Jasminum polyanthum,duo hua su xin
Laurus nobilis,bay laurel
Pleea tenuifolia,rush featherling
Streptocarpus ionanthus,African violet
Staphylea trifolia,American bladdernut
Tacca chantrieri,batflower
Tacca chantrieri,devil-flower
Tacca chantrieri,jian gen shu
Viburnum opulus,European cranberrybush
Viburnum opulus,crampbark
Viburnum opulus,guelder rose
Atrophaneura alcinous,Chinese windmill
Hedera hibernica,Atlantic ivy
Citrus japonica var. margarita,nagami kumquat
Hydrobatidae,storm petrels
Citrus reticulata,mandarin orange
Citrus reticulata,tangerine
Oophaga granulifera,granular poison-arrow frog
Oophaga granulifera,granular poison-dart frog
Oenothera elata subsp. hookeri,Hooker's evening primrose
Citrus clementina,clementine
Triticum dicoccoides,wild emmer wheat
Ancyromonadidae,ancyromonads
Strychnos potatorum,clearing-nut tree
Stephanotis floribunda,Madagascar jasmine
Magnolia denudata,haku-mokuren
Magnolia denudata,lilytree
Magnolia denudata,yu lan
Magnolia sieboldii,Oyama magnolia
Senecio californicus,California ragwort
Senecio viscosus,sticky ragwort
Halesia carolina,Carolina silverbell
Callitropsis nootkatensis,Nootka cypress
Callitropsis nootkatensis,Sitka cypress
Callitropsis nootkatensis,yellow cedar
Taxus x media,hybrid yew
Victoria amazonica,Amazon water-lily
Victoria amazonica,Victoria-lily
Victoria amazonica,royal water-lily
Serpula lacrymans,dry rot fungus
Coregonus baicalensis,European whitefish
Kraemeriidae,sand gobies
Ptereleotris heteroptera,pale gudgeon
Ptereleotris heteroptera,spot-tail dartfish
Ptereleotris heteroptera,spot-tail hovergoby
Ptereleotris heteroptera,tail-spot dart-goby
Eleotris melanosoma,bl;ack spinecheek gudgeon
Artemisia arbuscula,low sagebrush
Artemisia californica,California sagebrush
Artemisia filifolia,sand sagebrush
Artemisia ludoviciana,silver wormwood
Bufo bankorensis,Central Formosa toad
Mobula thurstoni,bentfin devil ray
Mobula thurstoni,lesser devil ray
Potamotrygon motoro,South American freshwater stingray
Heliopora coerulea,blue coral
Briareum asbestinum,corky sea finger
Stichopathes lutkeni,black wire coral
Leucophyllum frutescens,Texas silverleaf
Leucophyllum frutescens,barometer-bush
Leucophyllum frutescens,cenizo
Magnolia macrophylla var. dealbata,cloudforest magnolia
Magnolia acuminata var. subcordata,yellow cucumber-tree
Lobaria pulmonaria,lung lichen
Lobaria pulmonaria,lungwort lichen
Pinguicula lutea,yellow butterwort
Mylocheilus caurinus,northwest dace
Mylocheilus caurinus,peamouth
Mylocheilus caurinus,redmouth sucker
Erimystax x-punctatus,spotted chub
Exoglossum laurae,tonguetied minnow
Conger japonicus,beach conger
Testudo graeca,Mediterranean spur-thighed tortoise
Phaseolus filiformis,slimjim bean
Vigna hosei,Sarawak-bean
Vigna radiata var. sublobata,Jerusalem-pea
Vigna umbellata,mambi-bean
Vigna umbellata,rice bean
Serrivomeridae,sawtooth eels
Stemonidium hypomelas,black serrivomerid eel
Pastinachus sephen,cowtail ray
Amanita bisporigera,destroying angel
Paratemnopteryx stonei,cave cockroach
Primula conjugens,Bonneville shootingstar
Lycium andersonii,water jacket
Eucalyptus amygdalina,black peppermint gum
Monographella albescens,rice leaf scald
Sarpa salpa,salema
Ptychadena mascareniensis,Masarene grassland frog
Ptychadena mascareniensis,Mascarene grass frog
Ptychadena mascareniensis,Mascarene rocket frog
Ptychadena mascareniensis,broad-banded ridged frog
Taxus canadensis,Canada yew
Taxus canadensis,ground-hemlock
Protobothrops elegans,sakishima habu
Protobothrops flavoviridis,habu
Delichon urbicum,Mehlschwalbe
Psaltriparus minimus,Buschmeise
Prunus salicina,Japanese plum
Prunus salicina,su-momo
Hadrurus arizonensis,giant desert hairy scorpion
Pelophylax porosus,Kanagawa frog
Pelophylax fukienensis,Futsing Hsien frog
Colpodida,colpodids
Barbourisia rufa,red whalefish
Cetomimidae,largenose fishes
Hemiramphidae,halfbeaks
Pinus brutia,Calabrian pine
Pinus brutia,Turkish pine
Pinus koraiensis,Korean pine
Pinus koraiensis,channamu
Pinus heldreichii,Bosnian pine
Pinus massoniana,Chinese red pine
Pinus tabuliformis,southern Chinese pine
Pinus yunnanensis,Yunnan pine
Pinus armandii,Armand pine
Allium x proliferum,Beltsville bunching onion
Allium x proliferum,Catawissa onion
Allium x proliferum,Egyptian onion
Allium x proliferum,ou zi cong
Allium x proliferum,top onion
Allium x proliferum,wakegi
Atherosperma moschatum,Tasmanian sassafras
Cistanthe,pussypaws
Claytonia virginica,Virginia springbeauty
Thaptomys nigrita,blackish grass mouse
Musa x paradisiaca,banana
Bubalus bubalis,domestic water buffalo
Bubalus bubalis,river buffalo
Saltuarius cornutus,leaf-tailed gecko
Atriplex lentiformis,big saltbush
Atriplex lentiformis,quailbush
Torreya californica,California-nutmeg
Streptanthus glandulosus subsp. albidus,Metcalf canyon jewelflower
Streptanthus glandulosus,jewelflower
Streptanthus glandulosus subsp. glandulosus,uncommon jewelflower
Streptanthus hispidus,Mount Diablo jewelflower
Streptanthus insignis,San Benito jewelflower
Streptanthus insignis subsp. lyonii,Arburua Ranch jewelflower
Streptanthus glandulosus subsp. niger,Tiburon jewelflower
Streptanthus polygaloides,milkwort jewelflower
Galaxias argenteus,giant kokopu
Galaxias parvus,small pedder galaxias
Galaxias paucispondylus,alpine galaxias
Galaxiella munda,mud minnow
Ipomoea alba,moonflower
Ipomoea aquatica,Chinese water-spinach
Ipomoea gracilis,almor-ira
Ipomoea imperati,beach morning-glory
Ipomoea imperati,fiddle-leaf morning-glory
Ipomoea lacunosa,white morning-glory
Ipomoea lacunosa,white-star
Ipomoea leptophylla,bush moonflower
Ipomoea leptophylla,man-of-the-earth
Ipomoea leptophylla,manroot
Ipomoea lobata,Spanish-flag
Ipomoea lobata,cresta de gallo
Ipomoea pandurata,wild sweet-potato vine
Ipomoea pes-caprae,batatilla
Ipomoea pes-caprae,bay hops
Ipomoea pes-caprae,bejuco de playa
Ipomoea pes-caprae,goat's-foot
Ipomoea pes-caprae,hou teng
Ipomoea plebeia,campainha
Ipomoea plebeia,corda-de-viola
Ipomoea quamoclit,bejuco de cipres
Ipomoea quamoclit,cambustera
Ipomoea quamoclit,clavellina
Ipomoea quamoclit,hummingbird-vine
Ipomoea quamoclit,red-jasmine
Ipomoea quamoclit,regadero
Ipomoea setosa,Brazilian morning-glory
Ipomoea tricolor,campanilla
Ipomoea tricolor,flying-saucers
Ipomoea tricolor,pearly-gates
Ipomoea tricolor,yaxcelil
Lychas,tropical thick-tailed scorpions
Abies balsamea,balsam fir
Sairocarpus nuttallianus,violet snapdragon
Castilleja angustifolia,desert Indian paintbrush
Scrophularia nodosa,figwort
Echinochloa colona,Deccan grass
Echinochloa colona,corn panic grass
Echinochloa colona,jungle-rice
Echinochloa colona,millet-rice
Echinochloa colona,shama millet
Echinochloa crus-galli,barnyard grass
Echinochloa crus-galli,cockspur grass
Icmadophila ericetorum,fairy's barf
Icmadophila ericetorum,peppermint drop lichen
Eryngium yuccifolium,rattlesnake master
Eryngium yuccifolium,rattlesnake-master
Strophostyles helvola,trailing fuzzybean
Micranthes aprica,Sierra saxifrage
Gallionellaceae,iron bacteria
Noturus nocturnus,freckled madtom
Camelina sativa,gold-of-pleasure
Acanthis hornemanni,hoary redpoll
Pungtungia herzi,mugitsuku
Mutinus caninus,dog stinkhorn
Graptopetalum,leatherpetal
Hylotelephium telephium,live-forever
Hylotelephium telephium,orpine
Hylotelephium telephium,witches' moneybags
Sedum rupestre,rock stonecrop
Juglans californica,California black walnut
Carya tomentosa,mockernut hickory
Erigeron annuus,eastern daisy fleabane
Erigeron strigosus,daisy-fleabane
Erigeron strigosus,prairie fleabane
Polybia occidentalis,camoati
Microstegium vimineum,Japanese stilt grass
Microstegium vimineum,Nepal grass
Microstegium vimineum,Vietnamese stilt grass
Sorghum arundinaceum,common wild sorghum
Linanthus caespitosus,mat prickly phlox
Linanthus jonesii,Jones' linanthus
Dascyllus albisella,Hawaiian dascyllus
Dascyllus carneus,cloudy dascyllus
Dascyllus carneus,twobar humbug
Dascyllus flavicaudus,yellowtail dascyllus
Dascyllus marginatus,Red Sea dascyllus
Heterotis niloticus,African arowana
Aricia artaxerxes,Scotch argus
Choerodon oligacanthus,"Choerodon oligocanthus (Bleeker, 1851)."
Hericium erinaceus,bearded tooth
Baillonius bailloni,saffron toucanet
Capito dayi,black-girdled barbet
Andigena laminirostris,plate-billed mountain toucan
Agapanthoideae,African lily family
Hypseleotris compressa,empire gudgeon
Setophaga tigrina,Cape May warbler
Trombiculidae,harvest mites
Trombiculidae,redbugs
Siganus guttatus,golden rabbitfish
Siganus guttatus,orange-spotted spinefoot
Sphenostylis stenocarpa,African yam-bean
Taeniopoda eques,black desert grasshopper
Bostrichidae,auger beetles
Bostrichidae,powderpost beetles
Dendrobates tinctorius,blue poison-arrow frog
Dendrobates tinctorius,dyeing poison-arrow frog
Ameerega bilinguis,Ecuadorean poison frog
Allobates femoralis,brilliant-thighed poison-arrow frog
Ameerega picta,spot-legged poison-arrow frog
Ameerega trivittata,three-striped arrow-poison frog
Carduus nutans,nodding thistle
Silybum marianum,holy thistle
Silybum marianum,lady's thistle
Silybum marianum,milk thistle
Iris spuria,blue iris
Gonatopsis borealis,boreopacific armhook squid
Metroxylon sagu,sago palm
Metroxylon salomonense,hebe-nut palm
Metroxylon salomonense,ivory nut palm
Brassica rapa subsp. chinensis,bok-choy
Cardamine scutata,bitter cress
Misgurnus mizolepis,Chinese fine-scaled loach
Sinopodophyllum hexandrum,Himalayan mayapple
Exserohilum turcicum,northern corn leaf blight
Cedrus libani,Lebanon cedar
Pisauridae,nursery web spiders
Parnassius smintheus,Smintheus' parnassian
