Ten-Year Age Groups Code,Year Code,UCD - Drug/Alcohol Induced Cause,Gender,Occurrence State,Deaths
15-24,2018,Drug poisonings (overdose) Unintentional,Male,West Virginia,35
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Wisconsin,33
15-24,2018,Drug poisonings (overdose) Suicide,Female,California,20
15-24,2018,Drug poisonings (overdose) Suicide,Female,Florida,12
15-24,2018,Drug poisonings (overdose) Suicide,Female,Illinois,10
15-24,2018,Drug poisonings (overdose) Suicide,Female,Texas,19
15-24,2018,Drug poisonings (overdose) Suicide,Male,California,12
15-24,2018,Drug poisonings (overdose) Suicide,Male,Texas,14
15-24,2018,Drug poisonings (overdose) Undetermined,Female,Maryland,31
15-24,2018,Drug poisonings (overdose) Undetermined,Male,Maryland,73
15-24,2018,Drug poisonings (overdose) Undetermined,Male,Michigan,13
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Alabama,18
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Arizona,64
15-24,2019,Drug poisonings (overdose) Unintentional,Female,California,97
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Colorado,19
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Connecticut,21
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Florida,99
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Georgia,20
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Illinois,38
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Indiana,29
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Kentucky,19
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Louisiana,13
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Massachusetts,20
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Michigan,34
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Minnesota,27
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Missouri,35
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Nevada,11
15-24,2019,Drug poisonings (overdose) Unintentional,Female,New Jersey,48
15-24,2019,Drug poisonings (overdose) Unintentional,Female,New York,57
15-24,2019,Drug poisonings (overdose) Unintentional,Female,North Carolina,37
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Ohio,88
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Pennsylvania,79
15-24,2019,Drug poisonings (overdose) Unintentional,Female,South Carolina,25
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Tennessee,34
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Texas,43
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Virginia,31
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Washington,19
15-24,2019,Drug poisonings (overdose) Unintentional,Female,West Virginia,15
15-24,2019,Drug poisonings (overdose) Unintentional,Female,Wisconsin,23
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Alabama,26
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Arizona,193
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Arkansas,19
15-24,2019,Drug poisonings (overdose) Unintentional,Male,California,400
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Colorado,60
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Connecticut,41
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Delaware,17
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Florida,199
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Georgia,57
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Idaho,12
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Illinois,94
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Indiana,65
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Iowa,10
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Kansas,19
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Kentucky,40
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Louisiana,29
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Maine,13
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Maryland,18
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Massachusetts,94
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Michigan,61
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Minnesota,64
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Mississippi,20
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Missouri,74
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Nevada,28
15-24,2019,Drug poisonings (overdose) Unintentional,Male,New Hampshire,20
15-24,2019,Drug poisonings (overdose) Unintentional,Male,New Jersey,81
15-24,2019,Drug poisonings (overdose) Unintentional,Male,New Mexico,31
15-24,2019,Drug poisonings (overdose) Unintentional,Male,New York,129
15-24,2019,Drug poisonings (overdose) Unintentional,Male,North Carolina,118
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Ohio,159
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Oklahoma,22
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Oregon,26
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Pennsylvania,147
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Rhode Island,13
15-24,2019,Drug poisonings (overdose) Unintentional,Male,South Carolina,57
15-24,2019,Drug poisonings (overdose) Unintentional,Male,South Dakota,10
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Tennessee,105
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Texas,148
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Utah,23
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Virginia,70
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Washington,72
15-24,2019,Drug poisonings (overdose) Unintentional,Male,West Virginia,32
15-24,2019,Drug poisonings (overdose) Unintentional,Male,Wisconsin,48
15-24,2019,Drug poisonings (overdose) Suicide,Female,California,22
15-24,2019,Drug poisonings (overdose) Suicide,Female,Illinois,12
15-24,2019,Drug poisonings (overdose) Suicide,Female,Michigan,12
15-24,2019,Drug poisonings (overdose) Suicide,Female,North Carolina,10
15-24,2019,Drug poisonings (overdose) Suicide,Female,Ohio,13
15-24,2019,Drug poisonings (overdose) Suicide,Female,Pennsylvania,10
15-24,2019,Drug poisonings (overdose) Suicide,Female,Texas,17
15-24,2019,Drug poisonings (overdose) Suicide,Male,California,23
15-24,2019,Drug poisonings (overdose) Suicide,Male,Texas,15
15-24,2019,Drug poisonings (overdose) Suicide,Male,Utah,10
15-24,2019,Drug poisonings (overdose) Undetermined,Female,Maryland,25
15-24,2019,Drug poisonings (overdose) Undetermined,Male,Maryland,67
15-24,2019,Drug poisonings (overdose) Undetermined,Male,Michigan,13
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Alabama,18
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Arizona,67
15-24,2020,Drug poisonings (overdose) Unintentional,Female,California,186
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Colorado,44
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Connecticut,22
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Delaware,11
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Florida,121
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Georgia,34
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Illinois,57
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Indiana,49
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Kansas,13
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Kentucky,40
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Louisiana,27
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Massachusetts,35
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Michigan,41
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Minnesota,39
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Missouri,49
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Nevada,26
15-24,2020,Drug poisonings (overdose) Unintentional,Female,New Jersey,35
15-24,2020,Drug poisonings (overdose) Unintentional,Female,New Mexico,14
15-24,2020,Drug poisonings (overdose) Unintentional,Female,New York,75
15-24,2020,Drug poisonings (overdose) Unintentional,Female,North Carolina,82
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Ohio,106
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Oklahoma,18
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Oregon,14
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Pennsylvania,85
15-24,2020,Drug poisonings (overdose) Unintentional,Female,South Carolina,37
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Tennessee,74
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Texas,76
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Utah,11
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Virginia,48
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Washington,33
15-24,2020,Drug poisonings (overdose) Unintentional,Female,West Virginia,22
15-24,2020,Drug poisonings (overdose) Unintentional,Female,Wisconsin,34
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Alabama,50
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Alaska,13
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Arizona,289
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Arkansas,25
15-24,2020,Drug poisonings (overdose) Unintentional,Male,California,787
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Colorado,107
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Connecticut,58
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Delaware,12
15-24,2020,Drug poisonings (overdose) Unintentional,Male,District of Columbia,15
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Florida,288
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Georgia,88
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Idaho,14
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Illinois,166
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Indiana,132
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Iowa,22
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Kansas,51
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Kentucky,91
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Louisiana,55
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Maine,24
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Maryland,30
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Massachusetts,69
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Michigan,106
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Minnesota,81
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Mississippi,29
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Missouri,109
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Nebraska,18
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Nevada,81
15-24,2020,Drug poisonings (overdose) Unintentional,Male,New Hampshire,13
15-24,2020,Drug poisonings (overdose) Unintentional,Male,New Jersey,102
15-24,2020,Drug poisonings (overdose) Unintentional,Male,New Mexico,35
15-24,2020,Drug poisonings (overdose) Unintentional,Male,New York,198
15-24,2020,Drug poisonings (overdose) Unintentional,Male,North Carolina,185
15-24,2020,Drug poisonings (overdose) Unintentional,Male,North Dakota,22
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Ohio,217
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Oklahoma,26
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Oregon,56
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Pennsylvania,187
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Rhode Island,15
15-24,2020,Drug poisonings (overdose) Unintentional,Male,South Carolina,94
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Tennessee,136
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Texas,298
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Utah,24
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Virginia,117
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Washington,123
15-24,2020,Drug poisonings (overdose) Unintentional,Male,West Virginia,24
15-24,2020,Drug poisonings (overdose) Unintentional,Male,Wisconsin,61
15-24,2020,Drug poisonings (overdose) Suicide,Female,California,18
15-24,2020,Drug poisonings (overdose) Suicide,Female,Colorado,11
15-24,2020,Drug poisonings (overdose) Suicide,Female,Florida,11
15-24,2020,Drug poisonings (overdose) Suicide,Female,Illinois,10
15-24,2020,Drug poisonings (overdose) Suicide,Female,Ohio,12
15-24,2020,Drug poisonings (overdose) Suicide,Female,Texas,22
15-24,2020,Drug poisonings (overdose) Suicide,Male,California,20
15-24,2020,Drug poisonings (overdose) Suicide,Male,Florida,10
15-24,2020,Drug poisonings (overdose) Suicide,Male,New York,10
15-24,2020,Drug poisonings (overdose) Suicide,Male,Texas,12
15-24,2020,Drug poisonings (overdose) Undetermined,Female,Maryland,21
15-24,2020,Drug poisonings (overdose) Undetermined,Male,Indiana,11
15-24,2020,Drug poisonings (overdose) Undetermined,Male,Maryland,78
15-24,2020,All other drug-induced causes,Male,California,15
15-24,2020,All other drug-induced causes,Male,Michigan,11
15-24,2020,All other drug-induced causes,Male,Texas,11
15-24,2020,Alcohol poisonings (overdose),Male,California,13
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Alabama,15
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Arizona,49
15-24,2021,Drug poisonings (overdose) Unintentional,Female,California,174
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Colorado,35
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Connecticut,15
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Florida,92
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Georgia,44
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Illinois,46
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Indiana,35
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Kansas,11
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Kentucky,34
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Louisiana,24
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Massachusetts,26
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Michigan,40
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Minnesota,32
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Missouri,34
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Nevada,22
15-24,2021,Drug poisonings (overdose) Unintentional,Female,New Jersey,26
15-24,2021,Drug poisonings (overdose) Unintentional,Female,New Mexico,15
15-24,2021,Drug poisonings (overdose) Unintentional,Female,New York,44
15-24,2021,Drug poisonings (overdose) Unintentional,Female,North Carolina,55
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Ohio,55
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Oregon,13
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Pennsylvania,70
15-24,2021,Drug poisonings (overdose) Unintentional,Female,South Carolina,32
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Tennessee,55
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Texas,88
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Virginia,51
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Washington,45
15-24,2021,Drug poisonings (overdose) Unintentional,Female,West Virginia,23
15-24,2021,Drug poisonings (overdose) Unintentional,Female,Wisconsin,22
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Alabama,39
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Alaska,15
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Arizona,147
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Arkansas,10
15-24,2021,Drug poisonings (overdose) Unintentional,Male,California,525
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Colorado,95
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Connecticut,27
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Florida,183
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Georgia,77
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Idaho,17
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Illinois,123
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Indiana,114
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Iowa,23
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Kansas,32
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Kentucky,60
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Louisiana,56
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Maine,11
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Maryland,12
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Massachusetts,62
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Michigan,43
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Minnesota,62
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Mississippi,31
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Missouri,89
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Nebraska,15
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Nevada,37
15-24,2021,Drug poisonings (overdose) Unintentional,Male,New Jersey,73
15-24,2021,Drug poisonings (overdose) Unintentional,Male,New Mexico,43
15-24,2021,Drug poisonings (overdose) Unintentional,Male,New York,126
15-24,2021,Drug poisonings (overdose) Unintentional,Male,North Carolina,122
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Ohio,129
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Oklahoma,32
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Oregon,55
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Pennsylvania,136
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Rhode Island,10
15-24,2021,Drug poisonings (overdose) Unintentional,Male,South Carolina,58
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Tennessee,114
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Texas,249
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Utah,23
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Virginia,87
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Washington,97
15-24,2021,Drug poisonings (overdose) Unintentional,Male,West Virginia,29
15-24,2021,Drug poisonings (overdose) Unintentional,Male,Wisconsin,45
15-24,2021,Drug poisonings (overdose) Suicide,Female,California,10
15-24,2021,Drug poisonings (overdose) Suicide,Female,Florida,11
15-24,2021,Drug poisonings (overdose) Suicide,Female,Texas,12
15-24,2021,Drug poisonings (overdose) Suicide,Male,California,12
15-24,2021,Drug poisonings (overdose) Suicide,Male,Georgia,10
15-24,2021,Drug poisonings (overdose) Suicide,Male,Texas,10
15-24,2021,Drug poisonings (overdose) Undetermined,Female,Maryland,13
15-24,2021,Drug poisonings (overdose) Undetermined,Male,Maryland,50
15-24,2021,All other alcohol-induced causes,Male,California,11
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Alabama,56
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Arizona,85
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Arkansas,21
25-34,2018,Drug poisonings (overdose) Unintentional,Female,California,218
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Colorado,50
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Connecticut,56
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Delaware,27
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Florida,360
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Georgia,76
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Idaho,13
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Illinois,148
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Indiana,123
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Iowa,15
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Kansas,17
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Kentucky,112
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Louisiana,85
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Maine,18
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Maryland,33
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Massachusetts,178
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Michigan,182
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Minnesota,49
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Mississippi,16
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Missouri,129
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Nevada,35
25-34,2018,Drug poisonings (overdose) Unintentional,Female,New Hampshire,40
25-34,2018,Drug poisonings (overdose) Unintentional,Female,New Jersey,174
25-34,2018,Drug poisonings (overdose) Unintentional,Female,New Mexico,26
25-34,2018,Drug poisonings (overdose) Unintentional,Female,New York,208
25-34,2018,Drug poisonings (overdose) Unintentional,Female,North Carolina,184
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Ohio,335
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Oklahoma,31
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Oregon,15
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Pennsylvania,318
25-34,2018,Drug poisonings (overdose) Unintentional,Female,South Carolina,69
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Tennessee,128
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Texas,132
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Utah,30
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Vermont,12
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Virginia,96
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Washington,56
25-34,2018,Drug poisonings (overdose) Unintentional,Female,West Virginia,77
25-34,2018,Drug poisonings (overdose) Unintentional,Female,Wisconsin,85
25-34,2018,Drug poisonings (overdose) Unintentional,Male,Alabama,99
25-34,2018,Drug poisonings (overdose) Unintentional,Male,Alaska,12
25-34,2018,Drug poisonings (overdose) Unintentional,Male,Arizona,252
25-34,2018,Drug poisonings (overdose) Unintentional,Male,Arkansas,62
25-34,2018,Drug poisonings (overdose) Unintentional,Male,California,691
25-34,2018,Drug poisonings (overdose) Unintentional,Male,Colorado,162
25-34,2018,Drug poisonings (overdose) Unintentional,Male,Connecticut,176
25-34,2018,Drug poisonings (overdose) Unintentional,Male,Delaware,82
25-34,2018,Drug poisonings (overdose) Unintentional,Male,District of Columbia,27
25-34,2018,Drug poisonings (overdose) Unintentional,Male,Florida,820
