,name_twitter,screen_name,created_at,location,description,followers_count,friends_count,listed_count,favourites_count,time_zone,statuses_count,lang
18,Wayne State Univ,waynestate,09/20/07 11:46 AM,"Detroit, MI","A premier research university serving a diverse body of motivated students in vibrant Midtown, the cultural center of Detroit.",26443,4688,500,3560,Eastern Time (US & Canada),11685,en
19,Richland College,richlandcollege,09/27/07 01:36 AM,"Dallas, TX","Teaching, learning, and sustainable community building by identifying and meeting your educational needs. A college of @dcccd",3536,1494,112,442,Central Time (US & Canada),2684,en
20,PalmerCollege,palmercollege,10/15/07 05:39 PM,"Iowa, California, Florida",Palmer College of Chiropractic - The birthplace of chiropractic and the trusted leader in chiropractic education.,6153,460,94,799,Central Time (US & Canada),7389,en
21,Bellevue University,BellevueU,10/23/07 01:48 PM,Nebraska,Squeezing anything & everything Bellevue University into 140 characters on a daily basis. Tweet us anytime! #BellevueU,8031,1788,205,1112,Central Time (US & Canada),3211,en
22,Southern WV College,SWVCTC,10/24/07 08:49 PM,Southern West Virginia,The official Twitter account for Southern West Virginia Community and Technical College.  Follow us to find out about up to date information about our campuses.,1580,1535,10,0,Quito,490,en
23,UT Pan American,UTPA,10/25/07 05:08 AM,"Edinburg, TX",The Official Twitter account for The University of Texas-Pan American. #BroncCountry #UTPA,9786,265,131,1202,Central Time (US & Canada),8557,en
24,IUPUI,IUPUI,11/09/07 02:29 AM,"Indianapolis, IN","Indiana's premier urban public research institution. IUPUI: Fulfilling the promise. Tweets by Sam, Alexis and Kris with @IUComm.",19759,2876,271,1468,Eastern Time (US & Canada),15493,en
25,MissouriSandT,MissouriSandT,11/10/07 08:13 PM,"Rolla, MO, USA","Missouri University of Science and Technology (Missouri S&T), formerly University of Missouri-Rolla and MSM",8044,1707,227,236,Mountain Time (US & Canada),14125,en
26,La Salle University,LaSalleUniv,11/13/07 06:59 PM,"Philadelphia, PA USA",Established in 1863 through the legacy of St. John Baptist de La Salle and the Christian Brothers teaching order. #LaSalleU,7156,120,146,306,Central Time (US & Canada),2333,en
27,Drake University,DrakeUniversity,11/15/07 06:33 PM,"Des Moines, Iowa","The official Twitter feed of Drake University, a private university that has been molding minds and creating independent thinkers since 1881.",24618,2633,382,5350,Mountain Time (US & Canada),10059,en
28,Pacific University,pacificu,11/16/07 04:13 AM,"Forest Grove, Oregon 97116","Pacific University in Oregon offers the finest liberal arts and sciences, optometry, education, health professions and business programs to over 3,600 students.",4761,857,195,3349,Pacific Time (US & Canada),5283,en
29,Sterling College,sterlingcollege,11/23/07 04:10 PM,"Craftsbury Common, VT",Sterling College is the leading voice in higher education for environmental stewardship and is one of only seven federally recognized work colleges.,2081,1514,84,655,Eastern Time (US & Canada),4005,en
30,Concordia University,concordiastpaul,11/30/07 07:04 PM,"Saint Paul, MN","Concordia University in St. Paul, Minnesota empowers students to discover & engage purpose. It is a place where Christ is honored & all are welcome.",5971,2812,200,571,Central Time (US & Canada),3918,en
31,UC Santa Cruz,ucsc,12/01/07 07:59 PM,"Santa Cruz, California",Celebrating 50 amazing years,16159,1178,389,1051,Pacific Time (US & Canada),7602,en
32,Cal State Northridge,csunorthridge,12/18/07 07:22 PM,"Northridge, California","Where individuals rise, and through them we all do.",23212,205,260,229,Pacific Time (US & Canada),6698,en
33,Butler University,butleru,12/22/07 11:44 PM,"Indianapolis, IN",This is the official account for Butler University. #GoDawgs,22033,2833,493,3457,Indiana (East),12729,en
34,The Art Institutes ,Art_Institutes,01/04/08 01:51 PM,United States & Canada,The Art Institutes system has over 50 locations across North America as well as programs available online.,76006,477,1048,1082,Eastern Time (US & Canada),4284,en
35,Inter Ponce,InterPonce,01/31/08 07:29 PM,"Ponce, Puerto Rico",Recinto de Ponce de la Universidad Interamericana de Puerto Rico. InstituciÃ³n educativa con programas presenciales y @ distancia.,1926,253,20,56,Eastern Time (US & Canada),2887,en
36,Mississippi State,msstate,02/12/08 08:14 PM,"Starkville, Mississippi USA",Official feed of Mississippi State University // Mississippi's leading university // Managed by MSU Public Affairs,66988,158,467,828,Central Time (US & Canada),4159,en
37,PNCA,pnca,02/13/08 04:32 AM,"Portland, OR","PNCA, undergraduate and graduate studies in art and design in downtown Portland.",4124,321,249,1,Pacific Time (US & Canada),1627,en
38,OK Wesleyan Univ,OKWUniv,02/14/08 02:39 PM,"Bartlesville, OK",Christian Liberal Arts University where we see things differently!,2102,243,55,416,Central Time (US & Canada),2630,en
39,PittCommunityCollege,PittCC,02/23/08 06:09 PM,"Greenville, NC","Educate | Empower | Success -
We're all that with a big bulldog heart.",1773,241,47,168,Eastern Time (US & Canada),4563,en
40,SUNY Buffalo State,buffalostate,02/26/08 01:57 PM,"Buffalo, NY","News, events, and more from #BuffaloState, a #SUNY campus located in #Buffalo, New Yorkâ€™s Elmwood Village.",8130,524,160,1072,Eastern Time (US & Canada),3511,en
41,Aquinas College,AquinasCollege,02/26/08 03:17 PM,"Grand Rapids, Michigan",The official Twitter account of Aquinas College.,5392,92,162,101,Eastern Time (US & Canada),1785,en
42,UWGB,uwgb,02/27/08 02:56 PM,"Green Bay, WI",University of Wisconsin-Green Bay | Higher Education Partner of the Green Bay Packers | #gophoenix | #EcoU  | Celebrating #uwgb50,7104,2751,173,12258,Central Time (US & Canada),15639,en
43,MD Anderson ,MDAndersonNews,02/29/08 11:10 PM,"Houston, Texas","The official account of MD Anderson Cancer Center, a leader in cancer care, cancer research and the fight to #endcancer. Appointments available: 1-877-632-6789",42028,2762,1093,2498,Central Time (US & Canada),10378,en
44,Auburn University,AuburnU,03/10/08 03:23 PM,"Auburn, AL","Auburn is one of the largest universities in the South, remaining at the educational forefront with our emphasis on a blend of arts & applied sciences.",75985,125,1015,557,Central Time (US & Canada),3799,en
45,Texas Tech,TexasTech,03/11/08 05:46 PM,"Lubbock, TX","Raider Power! Official Twitter account of Texas Tech University. News, events and updates. Tweeting M-F. Join the #Raiderland conversation!",91765,61728,695,1325,Central Time (US & Canada),19858,en
46,Pepperdine Univ.,pepperdine,03/17/08 02:48 AM,"Malibu, CA","Strengthening lives for purpose, service and leadership.",8765,463,239,5959,Pacific Time (US & Canada),5243,en
47,NJIT,NJIT,03/20/08 01:41 PM,"Newark, NJ",New Jersey Institute of Technology,6937,719,199,2877,Eastern Time (US & Canada),30519,en
48,Goshen College,GOSHENCOLLEGE,03/23/08 12:32 AM,"Goshen, IN","Core values: Christ-centeredness, global citizenship, compassionate peacemaking, servant leadership, passionate learning.",2145,426,104,1944,Eastern Time (US & Canada),3453,en
49,Franklin College,FranklinCollege,03/24/08 06:57 PM,"Franklin, Indiana","Franklin College is a residential, four-year, co-educational undergraduate liberal arts institution 20 minutes south of downtown Indianapolis.",3352,223,88,586,Eastern Time (US & Canada),1028,en
50,Roanoke College,RoanokeCollege,03/26/08 12:47 PM,"Salem, VA","Consistently ranked in the top 10% of U.S. Colleges, Roanoke College delivers a classic education built for success in the modern world.",9843,4187,260,896,Eastern Time (US & Canada),2801,en
51,Oklahoma Christian U,okchristian,03/27/08 02:49 PM,"Oklahoma City, OK","Official Twitter feed of Oklahoma Christian University | 
OC is Home. OC Grows. OC is Mission.",10627,3047,188,3208,Central Time (US & Canada),7388,en
52,UTHSC,uthsc,04/01/08 08:16 PM,"Memphis, TN",University of Tennessee Health Science Center,2693,312,100,8,Central Time (US & Canada),1239,en
53,Rogers State U.,RogersStateU,04/11/08 06:47 PM,"Claremore, Oklahoma ","A regional university offering undergraduate and graduate degrees with campuses in Claremore, Bartlesville, Pryor and online. #IAmAHillcat",2744,1348,57,1178,Central Time (US & Canada),5723,en
54,Bowdoin College,BowdoinCollege,04/14/08 02:20 PM,"Brunswick, Maine",A small liberal arts college on the coast of Maine.,8833,2208,218,6905,Eastern Time (US & Canada),15986,en
55,Swarthmore College,swarthmore,04/17/08 12:11 AM,"Swarthmore, PA",The official Twitter account of Swarthmore College.,5914,768,234,3595,Eastern Time (US & Canada),6663,en
56,Colgate University,colgateuniv,04/17/08 01:16 PM,"Hamilton, NY",Colgate University is a highly selective Liberal Arts University in a gorgeous setting. Join us to learn more or just to stay in touch,15868,3752,401,4454,Quito,26865,en
57,Johns Hopkins,JohnsHopkins,04/19/08 06:35 AM,"Baltimore, MD","Research, Medicine, Engineering, Applied Physics Lab, Nursing, Public Health, Arts&Sciences, Peabody, Education, SAIS, Carey. Tweets by Office of Communications",51766,4224,1659,6200,Eastern Time (US & Canada),23254,en
58,Penn State Abington,PSUabington,04/20/08 02:37 PM,,The official Twitter account of #PSUabington,1509,248,38,664,Quito,2144,en
59,pitzer college,pitzercollege,04/21/08 04:19 PM,"Claremont, CA","Pitzer College is a distinctive liberal arts college that links academic achievement, social responsibility and community involvement.",4319,171,176,21,Pacific Time (US & Canada),3580,en
60,Lynchburg College,lynchburg,04/22/08 02:21 PM,"Lynchburg, Virginia","News, feature items and other tweet-worthy tidbits from the office of College Communications and Marketing. Go, #Hornets!",7226,2945,177,980,Eastern Time (US & Canada),11661,en
61,Ohio Dominican,ohiodominican,04/22/08 03:42 PM,"Columbus, OH",ODU is Central Ohio's Catholic university where students connect their passion with a purpose. #iamODU,3084,893,85,365,Eastern Time (US & Canada),3764,en
62,Wofford College,woffordcollege,04/22/08 05:55 PM,"Spartanburg, SC","Wofford College, established in 1854, is an independent liberal arts college located in Spartanburg, S.C.",6467,88,169,98,Eastern Time (US & Canada),2098,en
63,George Fox Univ.,georgefox,04/25/08 08:16 PM,"Newberg, Oregon",Be Known at Oregon's nationally recognized Christian university,3336,1212,89,2597,Pacific Time (US & Canada),3077,en
64,University of Iowa,uiowa,04/25/08 09:39 PM,"Iowa City, IA","The official University of Iowa Twitter account. Founded in 1847, the UI enrolls more than 30,500 students and offers many top-ranked programs",60221,1663,954,1109,Central Time (US & Canada),8581,en
65,SUNY Empire,SUNYEmpire,04/28/08 01:45 PM,"Saratoga Springs, NY","#SUNYEmpire, SUNY's statewide college, educates 20,000 students online, face to face, and a blend of both, at the associate, bachelor's, master's levels.",2695,1180,87,926,Eastern Time (US & Canada),3439,en
66,Coll. of Charleston,CofC,04/29/08 03:43 PM,"Charleston, SC",Official twitter account for College of Charleston. We're a top-notch university in a coastal city without peer. All #CofC social media: http://t.co/mOCyiRhSC1,27651,691,328,458,Eastern Time (US & Canada),10400,en
67,Mayo Clinic,MayoClinic,04/29/08 11:25 PM,"Minnesota, Florida, Arizona","An integrated clinical practice, education and research institution specializing in treating patients. Account maintained by @MayoClinic/MCCSM.",1242004,1808,10597,1287,Pacific Time (US & Canada),26647,en
68,CSU Channel Islands,csuci,05/01/08 09:45 PM,"Camarillo, CA","CSU Channel Islands is Ventura County's first public, four-year university",3218,225,117,263,Pacific Time (US & Canada),2843,en
69,Saint Michael's,saintmichaels,05/02/08 06:41 PM,"Burlington, VT","Saint Michael's College, #smcvt, is a challenging Catholic, liberal arts college near Burlington, VT â€“ the coolest of college towns.",3494,827,78,5008,Quito,3983,en
70,Lincoln College,Lincolncollege,05/05/08 02:40 PM,"Lincoln, IL",Illinois' only two-year residential college nationally known for its supportive services.,889,5,49,9,Central Time (US & Canada),215,en
71,CCU,my_ccu,05/06/08 04:27 PM,"Denver, Colorado","Colorado Christian University is a private, interdenominational Christian liberal arts university, ranked in the top 2% of US colleges and universities by ACTA.",1124,210,29,240,Mountain Time (US & Canada),2067,en
72,Providence College,providencecol,05/08/08 02:48 PM,Providence Rhode Island,"Official Account of #ProvidenceCollege est. 1917. Tweets about news, events, teaching, learning & sports. Trending: #gofriars #friartown",8450,840,110,1068,Eastern Time (US & Canada),3348,en
73,University of Utah,UUtah,05/12/08 07:40 PM,"Salt Lake City, Utah",The official Twitter account of the University of Utah. Find us on FB at https://t.co/ag7R7e6Zzn; IG @ universityofutah; and Snapchatâž¡ï¸univofutah.,40479,1513,658,9402,Mountain Time (US & Canada),16991,en
74,Cape Fear C.C.,cfcc,05/13/08 01:30 PM,"Wilmington, NC",North Carolina's sixth largest community college serving residents of New Hanover and Pender counties. http://t.co/HnYLAVZ0Jl,4051,88,86,17,Quito,1594,en
75,USC Upstate,USCUpstate,05/13/08 01:49 PM,"Spartanburg, SC","Liberal arts, sciences, business administration, nursing and teacher education; master degrees in education and informatics.",4857,365,72,303,Eastern Time (US & Canada),11336,en
76,VanderbiltUniversity,VanderbiltU,05/14/08 05:28 PM,"Nashville, Tenn.",@VanderbiltU is the official Twitter account of Vanderbilt University. 3:1 squirrel-to-student ratio. Get social with us: http://t.co/9mhr7PCK4b,31888,2069,622,2444,Central Time (US & Canada),13843,en
77,Univ. of Rochester,UofR,05/14/08 09:14 PM,"Rochester, NY","Official Twitter account for the University of Rochester. Offering updates, news, support -- live from Wallis Hall. 

Meliora: Ever Better.",19418,4343,444,487,Quito,7693,en
78,lewisandclark,lewisandclark,05/15/08 05:01 PM,"Portland, Oregon","A private institution with a public conscience. Offering an education built on careful study, original research, & spirited debate.",4319,2192,150,655,Pacific Time (US & Canada),9341,en
79,SUNY New Paltz,newpaltz,05/16/08 05:09 PM,"New Paltz, NY","Located only 90 minutes from NYC, we're home to innovators, leaders, and creators. Tweeting #NPsocial, #NPorientation, #NPGrad, #NPhawks, #NPinterns.",6209,726,155,7259,Eastern Time (US & Canada),5796,en
80,Univ. of the Ozarks,UOzarks,05/17/08 05:01 PM,"Clarksville, AR",Private. Four-year. Small. Christian. Affordable. And AWESOME. Come see for yourself! #UOzarks #ozarksproud,1248,206,28,180,Central Time (US & Canada),2372,en
81,Medaille College ,MedailleCollege,05/19/08 06:32 PM,Est. 1937 ~ Western New York,"Day, night, weekend & online degrees through undergraduate & graduate programs in Buffalo & Rochester. Where College Meets Career. Call 1-800-292-1582. #GoMavs",3069,875,90,262,Eastern Time (US & Canada),3967,en
82,Southern Adventist U,SouthernNews,05/21/08 03:57 PM,"Collegedale, TN","A learning community that nurtures Christ-likeness and encourages the pursuit of truth, wholeness, and a life of service.",6967,69,120,225,Eastern Time (US & Canada),776,en
83,St. Norbert College,stnorbert,05/21/08 03:57 PM,"De Pere, Wis.","The official Twitter feed for St. Norbert College, a national top 10 Catholic liberal arts college. For alumni news: @sncalumni. For athletics: @sncathletics.",7117,4897,163,1434,Central Time (US & Canada),6284,en
84,UC Merced,ucmerced,05/21/08 04:12 PM,"5200 N. Lake Rd., Merced, CA",UC Merced is the newest campus of the University of California system and the first American research university built in the 21st century.,9050,722,223,1244,Pacific Time (US & Canada),4625,en
85,SIUE,SIUE,05/21/08 08:31 PM,"Edwardsville, Illinois","Founded in 1957, SIUE is a fully accredited, nationally recognized public institution - beautifully situated on 2,660 acres just 25 miles from St. Louis.",7327,254,90,837,Central Time (US & Canada),4511,en
86,UMass Lowell,UMassLowell,05/21/08 08:34 PM,"Lowell, Massachusetts","UMass Lowell is a national research university that helps students get ready for work, for life and for all the world offers.",12222,467,208,3697,Eastern Time (US & Canada),11884,en
87,Univ. of Arizona,UofA,05/21/08 11:44 PM,"Tucson, Arizona","Whether we are landing on asteroids or determining how we feed 10 billion people, Arizona Wildcats ask bigger questions to get better answers. #BearDown",93465,689,1000,2767,Arizona,24428,en
88,BristolCC,BristolCC,05/22/08 02:53 PM,"Fall River, MA","Changing the world by changing lives, learner by learner.",1816,415,42,10,Eastern Time (US & Canada),976,en
89,LeMoyne,LeMoyne,05/22/08 05:26 PM,"Syracuse, NY","We are an independent college established by the Jesuits to provide a values-based, comprehensive education",4220,467,127,168,Quito,3062,en
90,tridenttech,tridenttech,05/22/08 07:19 PM,"Charleston, SC","Trident Technical College offers more than 150 programs of study, multiple campuses and locations, and an Online College. Discover your path.",2405,44,39,675,Eastern Time (US & Canada),2440,en
91,Concordia Univ. Neb.,CUNE,05/23/08 12:30 PM,"Seward, NE","We are an excellent academic & Christ-centered community equipping men & women for lives of learning, service and leadership in the church and world.",3101,1290,64,1395,Central Time (US & Canada),2030,en
92,Lenoir-Rhyne Univ.,lenoirrhyne,05/23/08 05:33 PM,"Hickory, NC","News from and about Lenoir-Rhyne University, a co-educational, private liberal arts institution 'Rising Up' in Hickory, NC. Go Bears!",3705,110,63,2035,Eastern Time (US & Canada),3095,en
93,Brown University,BrownUniversity,05/23/08 05:57 PM,"Providence, Rhode Island","The official Twitter feed for Brown University located in Providence, Rhode Island. #BrownUniversity #BrownTogether",85657,827,1482,7913,Eastern Time (US & Canada),10483,en
94,Valdosta State ,valdostastate,05/30/08 01:09 PM,"Valdosta, GA",The official Valdosta State University Twitter feed,11476,2321,105,2729,Eastern Time (US & Canada),8618,en
95,WTAMU,wtamu,05/30/08 01:34 PM,"Canyon, Texas","West Texas A&M University, located in Canyon, TX, was founded in 1910.  We offer 58 undergraduate, 39 graduate & 1 doctoral programs.",8119,1051,103,102,Central Time (US & Canada),7740,en
96,Humboldt State,humboldtstate,06/03/08 03:23 AM,"Arcata, California","The California State University's northernmost campus, nestled on the Redwood Coast 270 miles north of San Francisco. Like us @ http://t.co/Gb6pdqdSK3.",6998,74,197,987,Pacific Time (US & Canada),5600,en
97,Univ. of the Pacific,UOPacific,06/04/08 04:08 PM,"Stockton, SF, Sacramento",,4731,255,177,185,Pacific Time (US & Canada),10649,en
98,Pine Tech & Comm Col,pinetechcollege,06/06/08 08:50 PM,"Pine City, Minnesota","Pine Technical & Community College offers certificates, diplomas and associate degrees in gunsmithing, nursing, business, IT, human services and more!",623,230,39,12,Central Time (US & Canada),481,en
99,Ohio Northern Univ.,ohionorthern,06/06/08 11:58 PM,"Ada, Ohio","Ohio Northern is an independent, comprehensive University devoted to preparing students for excellence in their careers and service to their communities.",5593,847,137,339,Quito,2120,en
100,Trine University,TrineUniversity,06/09/08 06:34 PM,"Angola, Indiana","From day one, a promise was made to prepare students to succeed, lead, and serve. Website http://t.co/RvWro66gkR Phone: 800.347.4878",2922,1163,56,2120,Quito,3303,en
101,JohnsonStateCollege,johnsonstate,06/10/08 01:39 AM,"Johnson, VT",Johnson State College is a 4-year liberal arts college in the heart of the Green Mountains of Vermont.,1746,1290,48,1673,Quito,2839,en
102,Ole Miss,OleMissRebels,06/13/08 01:21 AM,"University, MS",Official Twitter account of the University of Mississippi (Ole Miss). #hottytoddy #olemiss #rebels,51144,2069,466,4059,Central Time (US & Canada),6967,en
103,tacomacc,tacomacc,06/13/08 06:39 PM,"Tacoma, WA",The twitter account of Tacoma Community College,5139,5040,174,2120,Pacific Time (US & Canada),10171,en
104,Wayne State College,waynestcollege,06/13/08 08:12 PM,"Wayne, NE","A comprehensive college in Wayne, Nebraska.",3848,620,53,945,Central Time (US & Canada),3500,en
105,Michigan Tech,michigantech,06/16/08 04:07 PM,"Houghton, MI","Founded in 1885, Michigan Technological University is a leader in technology, engineering, and scientific degree programs and a leading research university.",7839,280,216,595,Eastern Time (US & Canada),5643,en
106,Tufts University,TuftsUniversity,06/19/08 12:41 PM,"Medford, MA","Located on four campuses in Boston, Medford/Somerville & Grafton, MA, and Talloires, France; recognized among the premier research universities in the US.",31764,5579,1038,1781,Eastern Time (US & Canada),14233,en
107,Cleve Institute Art,CleInstituteArt,06/19/08 03:16 PM,"Cleveland, OH, USA",Cleveland Institute of Art is a premier college of art and design offering Bachelor of Fine Arts degrees in 15 majors.,9616,1574,295,1152,Eastern Time (US & Canada),1848,en
108,Cal State Fullerton,csuf,06/24/08 11:02 PM,"Fullerton, CA","Welcome to the official Twitter page of California State University, Fullerton, home of the Titans!",38931,402,391,6038,Pacific Time (US & Canada),15242,en
109,Penn College,PennCollege,06/26/08 05:17 AM,"Williamsport, PA","Pennsylvania College of Technology, an affiliate of The Pennsylvania State University, offers degrees that work in more than 100 different career fields.",2731,297,79,1353,Eastern Time (US & Canada),6634,en
110,Yeshiva University,YUNews,06/26/08 05:02 PM,"New York, NY",The official Twitter account of Yeshiva University,6265,1017,142,88,Eastern Time (US & Canada),7796,en
111,Cayuga Comm College,CayugaCC,06/27/08 02:09 AM,"Auburn, NY","The official Twitter feed of SUNY Cayuga Community College (SUNY) with campuses in Auburn, NY, and Fulton, NY.",1814,1730,68,307,Eastern Time (US & Canada),1673,en
112,Berklee College ,BerkleeCollege,06/30/08 03:56 PM,"Boston, MA",The worldâ€™s premier college for the music of todayâ€”and tomorrow. Berklee alumni have won more than 250 Grammys and Latin Grammys. &#035;wheremusictakesyou,50864,1682,672,2332,Quito,3649,en
113,Multnomah University,multnomahu,07/01/08 06:42 PM,Portland Oregon,"Multnomah is a fully accredited biblical university with undergraduate, graduate, seminary and degree completion programs.",2743,1511,112,447,Pacific Time (US & Canada),4426,en
114,Western Governors U.,wgu,07/01/08 08:55 PM,Salt Lake City,"Online, accredited, competency-based Western Governors University. Flexible degree programs delivering superior results w/ less student debt--or none at all!",12344,10330,194,1247,Mountain Time (US & Canada),4285,en
115,Mansfield University,mansfieldU,07/02/08 01:46 AM,"Mansfield, PA",The official Twitter account of Mansfield University.  Pennsylvania's Premier Public Liberal Arts University.,2485,380,46,118,Eastern Time (US & Canada),3144,en
116,CSU Dominguez Hills,DominguezHills,07/07/08 06:40 PM,"Carson, CA","We educate a population of unprecedented diversity for leadership roles in a global society. Official acct. of California State University, Dominguez Hills",4380,861,144,631,Pacific Time (US & Canada),5825,en
117,Kalamazoo College,kcollege,07/08/08 01:11 PM,Kalamazoo Michigan USA,We do more in four years so students can do more in a lifetime.,4686,82,164,293,Quito,1530,en
118,University of Akron,uakron,07/09/08 12:32 AM,"Akron, Ohio","The University of Akron, Ohio's Polytechnic University, unites the Arts & Humanities with Science & Technology. #ZipsOnTheMove",34291,270,379,3769,Eastern Time (US & Canada),8337,en
119,Horned Frogs,TCU,07/09/08 10:39 PM,"Fort Worth, Texas",Our mission is to educate individuals to think and act as ethical leaders and responsible citizens in the global community.,62227,14099,538,4572,Central Time (US & Canada),9067,en
120,Normandale College,normandale_cc,07/10/08 06:26 PM,"Bloomington, MN","Normandale Community College - 
a 2-year school serving nearly 15,000 
students in the southwest Twin Cities 
region.",1761,316,77,74,Central Time (US & Canada),1363,en
121,"TMCC in Reno, NV!",tmccnevada,07/11/08 04:01 AM,"Reno, NV",I am a community college in Northern Nevada. Follow me for news updates!,3068,429,81,165,Pacific Time (US & Canada),1981,en
122,Sherman College,shermancollege,07/15/08 08:18 PM,"Spartanburg, SC",Adjusting the World for a Better Future,4165,466,84,16,Eastern Time (US & Canada),7187,en
123,SVSU,SVSU,07/16/08 04:07 AM,"University Center, Michigan","SVSU provides affordable tuition and unique opportunities to 10,000+ students on an attractive, suburban campus in Michiganâ€™s Great Lakes Bay Region.",3885,32,45,58,Eastern Time (US & Canada),719,en
124,UC San Francisco,UCSF,07/16/08 07:10 PM,"San Francisco, CA",UC San Francisco is the leading university exclusively focused on health.,25347,10921,853,5360,Pacific Time (US & Canada),11342,en
125,WittenbergUniversity,wittenberg,07/16/08 09:13 PM,"Springfield, ohio",The official Twitter feed of Wittenberg University.,4281,173,61,1198,Quito,2101,en
126,MIT,MIT,07/16/08 09:33 PM,"Cambridge, MA","The Massachusetts Institute of Technology is a world leader in research and education. Related accounts: @MITevents, @MITvideo Full list: http://t.co/yi6zEYtL6J",247087,430,5144,301,Eastern Time (US & Canada),9200,en
127,UCCS,UCCS,07/17/08 12:02 AM,Colorado Springs,"#ReachHigher at UCCS, a regional research university, part of the world-renowned University of Colorado system, located in the foothills of Pikes Peak.",6623,3358,97,2479,Mountain Time (US & Canada),4507,en
128,Ranken,ranken,07/17/08 05:47 PM,"St. Louis, MO","Ranken Technical College: the Midwest's top-rated, non-profit technical college",794,341,35,84,Central Time (US & Canada),2035,en
129,Grand Valley State,GVSU,07/18/08 02:16 PM,"Allendale, MI",The official Twitter account for Grand Valley State University. #gvsu #lakerforalifetime,33675,7756,404,2276,Eastern Time (US & Canada),7754,en
130,GuilfordCollege,GuilfordCollege,07/21/08 07:20 PM,"Greensboro, NC",A leading liberal arts college educating students to be principled problem solvers,3538,385,105,817,Eastern Time (US & Canada),3562,en
