,Country,2020
113,Moldova,"4,267.73"
114,Mongolia,"3,989.93"
115,Montenegro,"7,933.43"
116,Morocco,"3,121.38"
117,Mozambique,455.014
118,Myanmar,"1,332.55"
119,Namibia,"4,051.93"
120,Nauru,"8,866.87"
121,Nepal,"1,115.56"
122,Netherlands,"51,289.57"
123,New Zealand,"38,675.32"
124,Nicaragua,"1,832.50"
125,Niger,535.831
126,Nigeria,"2,148.91"
127,North Macedonia,"6,018.78"
128,Norway,"67,988.59"
129,Oman,"14,423.37"
130,Pakistan,
131,Palau,"14,232.72"
132,Panama,"14,090.50"
133,Papua New Guinea,"2,651.52"
134,Paraguay,"4,909.39"
135,Peru,"5,844.69"
136,Philippines,"3,372.53"
137,Poland,"15,303.54"
138,Portugal,"21,608.35"
139,Puerto Rico,"30,113.31"
140,Qatar,"52,751.11"
141,Romania,"12,813.11"
142,Russia,"9,972.50"
143,Rwanda,823.402
144,Samoa,"4,083.81"
145,San Marino,"41,682.81"
146,São Tomé and Príncipe,"1,911.89"
147,Saudi Arabia,"19,586.50"
148,Senegal,"1,455.47"
149,Serbia,"7,497.14"
150,Seychelles,"12,322.59"
151,Sierra Leone,518.466
152,Singapore,"58,483.96"
153,Slovak Republic,"18,669.30"
154,Slovenia,"25,038.79"
155,Solomon Islands,"2,367.23"
156,Somalia,
157,South Africa,"4,735.75"
158,South Sudan,303.146
159,Spain,"26,831.63"
160,Sri Lanka,"3,697.89"
161,St. Kitts and Nevis,"15,246.40"
162,St. Lucia,"9,780.50"
163,St. Vincent and the Grenadines,"7,033.08"
164,Sudan,734.597
165,Suriname,"4,199.16"
166,Sweden,"50,339.20"
167,Switzerland,"81,867.46"
168,Syria,
169,Taiwan Province of China,"26,910.23"
170,Tajikistan,833.545
171,Tanzania,"1,105.55"
172,Thailand,"7,295.13"
173,Timor-Leste,"1,456.05"
174,Togo,690.275
175,Tonga,"5,023.17"
176,Trinidad and Tobago,"16,197.20"
177,Tunisia,"3,295.45"
178,Turkey,"7,715.37"
179,Turkmenistan,"8,073.58"
180,Tuvalu,"4,090.76"
181,Uganda,915.354
182,Ukraine,"3,424.77"
183,United Arab Emirates,"31,947.92"
184,United Kingdom,"39,228.52"
185,United States,"63,051.40"
186,Uruguay,"15,331.72"
187,Uzbekistan,"1,762.86"
188,Vanuatu,"2,878.69"
189,Venezuela,"1,739.11"
190,Vietnam,"3,497.51"
191,West Bank and Gaza,"2,894.07"
192,Yemen,645.126
193,Zambia,"1,001.44"
194,Zimbabwe,921.847
195,,
196,"International Monetary Fund, World Economic Outlook Database, October 2020",
